[JavaFX Application Thread] ERROR KursovProektOOP2.controllers.Main  - View couldn't be loaded
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.ProductType column: Product_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Could not connect to address=(host=localhost)(port=3306)(type=master) : Socket fail to connect to host:localhost, port:3306. Connection refused: no further information
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR KursovProektOOP2.data.access.Connection  - Initialization of sessionFactory failedorg.hibernate.MappingException: Repeated column in mapping for entity: KursovProektOOP2.data.entity.Warehouse column: Warehouse_id (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=70) Duplicate entry 'TestUser1' for key 'username_UNIQUE'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.UserRepository  - User save errorcould not execute statement
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in KursovProektOOP2.data.entity.User entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=11) Duplicate entry '' for key 'username_UNIQUE'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.UserRepository  - User save errorcould not execute statement
[JavaFX Application Thread] ERROR org.hibernate.AssertionFailure  - HHH000099: an assertion failure occurred (this may indicate a bug in Hibernate, but is more likely due to unsafe use of the session): org.hibernate.AssertionFailure: null id in KursovProektOOP2.data.entity.User entry (don't flush the Session after an exception occurs)
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=23) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=23) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=23) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=24) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=26) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=27) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=10) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=10) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=45) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=93) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=94) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=95) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=96) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=97) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=126) Unknown column 'user0_.e' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.UserRepository  - Get users failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=126) Unknown column 'user0_.e' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.UserRepository  - Get users failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=127) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=127) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=131) Unknown column 'user0_.e' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.UserRepository  - Get users failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=132) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - (conn=132) Unknown column 'warehouse0_.Agent' in 'field list'
[JavaFX Application Thread] ERROR KursovProektOOP2.data.repository.WarehouseRepository  - Get warehouses failed: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
